run	embeddings	accuracy	precision	recall	f1_score
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.799087	0.886023	0.832031	0.858179
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.802511	0.880293	0.844531	0.862041
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.805936	0.862096	0.874219	0.868115
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.805936	0.857143	0.881250	0.869029
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.810502	0.879200	0.858594	0.868775
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.818493	0.879937	0.870313	0.875098
3	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.819064	0.878836	0.872656	0.875735
4	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.818493	0.887903	0.860156	0.873810
5	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.807648	0.883022	0.849219	0.865791
6	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.793950	0.887764	0.821875	0.853550
7	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.807078	0.873810	0.860156	0.866929
8	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.805936	0.885246	0.843750	0.864000
9	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.792237	0.897569	0.807813	0.850329
10	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.809361	0.873028	0.864844	0.868917
1	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.805936	0.861538	0.875000	0.868217
2	sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.811073	0.858655	0.887500	0.872839
